none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es-es
UI.MakeMoney_1_Sharetoearn_3,Directly added today,,,,,,,,,Diretamente acrescentado hoje,
UI.MakeMoney_1_Sharetoearn_4,Number of direct members,,,,,,,,,Número de membros diretos,
UI.MakeMoney_1_Sharetoearn_5,Today's team added,,,,,,,,,A equipe de hoje acrescentou,
UI.MakeMoney_1_Sharetoearn_6,Number of team,,,,,,,,,Número de Equipe(nova),
UI.MakeMoney_1_Sharetoearn_7,Get commission today,,,,,,,,,Obter comissão hoje,
UI.MakeMoney_1_Sharetoearn_8,Got commission yesterday,,,,,,,,,Recebi comissão ontem,
UI.MakeMoney_4_Promotion_3,Rewards,,,,,,,,,Recompensas,
UI.MakeMoney_4_Promotion_6,Direct members,,,,,,,,,Membros diretos(novos),
UI.MakeMoney_4_Promotion_12,Enter ID,,,,,,,,,Introduz ID,
UI.MakeMoney_4_Promotion_13,ID,,,,,,,,,ID,
UI.MakeMoney_4_Promotion_15,Betting,,,,,,,,,Apostar,
UI.MakeMoney_4_Promotion_17,Recharge,,,,,,,,,Recarrega,
UI.MakeMoney_4_Promotion_19,All,,,,,,,,,Todo,
UI.MakeMoney_4_Promotion_20,Today,,,,,,,,,Hoje,
UI.MakeMoney_4_Promotion_22,This week,,,,,,,,,Essa semana,
UI.MakeMoney_4_Promotion_23,Last week,,,,,,,,,Semana Anterior,
UI.MakeMoney_4_Promotion_24,This month,,,,,,,,,1 mês,
UI.MakeMoney_4_Promotion_32,1 day,,,,,,,,,1 dia,
UI.MakeMoney_4_Promotion_33,3 days,,,,,,,,,3 dias,
UI.MakeMoney_4_Promotion_36,Deposit Amount,,,,,,,,,Valor do depósito,
UI.MakeMoney_5_Withdrawal_3,Time,,,,,,,,,Hora,
UI.MakeMoney_5_Withdrawal_6,Status,,,,,,,,,Status,
UI.MakeMoney_6_Direct_3,Search,,,,,,,,,Procurar,
UI.Head_1_name_2,16 English digits,,,,,,,,,16 dígitos,
UI.Notice_0_main_1,Promotions,,,,,,,,,promoção,
UI.Notice_0_main_2,Notice,,,,,,,,,Aviso,
UI.Notice_left,left,,,,,,,,,Restante,
UI.OrderType_1,Successf,,,,,,,,,Bem-sucedido,
UI.OrderType_2,In Reocess,,,,,,,,,En Receso,
UI.OrderType_3,Cancelled,,,,,,,,,Cancelado,
UI.Service_0_main_2,Copy PIX Code,,,,,,,,,Copiar Código PIX,
UI_copy,Copy,,,,,,,,,cópia de,
UI.Settings_0_main_1,Settings,,,,,,,,,Conjunto,
UI.Settings_0_main_2,Sound,,,,,,,,,Som,
UI.Settings_0_main_3,Vibration,,,,,,,,,Vibração,
UI.Settings_0_main_5,Help,,,,,,,,,Ajuda,
UI.Settings_0_main_6,Logout,,,,,,,,,Sair,
UI.Settings_1_Help_2,Pure Sequence,,,,,,,,,Sequência Pura,
UI.Settings_1_Help_9,Unfold,,,,,,,,,Desdobrar,
UI.Settings_1_Help_15,Score,,,,,,,,,Pontuação,
UI_Music,Music,,,,,,,,,Soar,
UI_LoginMailText,LoginMailText,,,,,,,,,Selecione o tipo de e-mail,
UI.TP_0_Main_1,limit,,,,,,,,,limite,
UI.TP_0_Main_2,Mine,,,,,,,,,Meu,
UI.TP_0_Main_3,Exit To Lobby,,,,,,,,,Sair para o Lobby,
UI.TP_0_Main_4,Setting,,,,,,,,,Configurações,
UI.TP_0_Main_5,How to play,,,,,,,,,Como jogar,
UI.TP_0_Main_7,Boot Amount,,,,,,,,,Quantidade de arranque,
UI.TP_0_Main_8,Max Blinds,,,,,,,,,Max Blinds,
UI.TP_0_Main_9,Chaal Limit,,,,,,,,,Chaal Limit,
UI.TP_0_Main_10,Pot Limit,,,,,,,,,Limite de pots,
UI.TP_0_Main_11,see,,,,,,,,,ver,
UI.TP_0_Main_12,Seen,,,,,,,,,Visto,
UI.TP_0_Main_13,Pack,,,,,,,,,Pacote,
UI.TP_0_Main_14,Packed,,,,,,,,,Empacotado,
UI.TP_0_Main_15,Unfold,,,,,,,,,Desdobrar,
UI.TP_0_Main_16,Side Show,,,,,,,,,Mostra lateral,
UI.TP_0_Main_17,Blind,,,,,,,,,Cego,
UI.TP_0_Main_18,Chaal,,,,,,,,,Chaal,
UI.TP_0_Main_19,Declined,,,,,,,,,Rejeitado,
UI.TP_0_Main_20,Quit game will discard card?,,,,,,,,,Sair do jogo vai descartar as cartas?,
UI.TP_0_Main_21,Syed requested a side show?,,,,,,,,,Syed pediu um show lateral?,
UI.TP_0_Main_22,Accept,,,,,,,,,Aceitar,
UI.TP_0_Main_23,"Sorry,Your balance is insufficient ,Please recharge in time.",,,,,,,,,"Desculpe, seu saldo é insuficiente, recarregue a tempo.",
UI.Rummy_0_Main_1,Per Point,,,,,,,,,Por ponto,
UI.Rummy_0_Main_3,No Cards,,,,,,,,,Sem cartas,
UI.Rummy_0_Main_4,Number of Decks,,,,,,,,,Número de Decks,
UI.Rummy_0_Main_5,Max Winnings,,,,,,,,,Máximo de vitórias,
UI.Rummy_0_Main_6,Note:If you quit a game in progress you will lose upto,,,,,,,,,Nota: Se você desistir de um jogo em progresso você vai perder até,
UI.Rummy_0_Main_6_1,chips.,,,,,,,,,Moedas,
UI.Rummy_0_Main_7,Game Starting in,,,,,,,,,Jogo Começando,
UI.Rummy_0_Main_8,Drop,,,,,,,,,Largue,
UI.Rummy_0_Main_9,Group,,,,,,,,,Grupo,
UI.Rummy_0_Main_10,Discard,,,,,,,,,Descartar,
UI.Rummy_0_Main_11,Not Correct,,,,,,,,,Não correto,
UI.Rummy_0_Main_12,1st Life,,,,,,,,,1ª Vida,
UI.Rummy_0_Main_13,2nd Life,,,,,,,,,2ª Vida,
UI.Rummy_0_Main_14,1st Life Needed,,,,,,,,,Primeira vida necessária,
UI.Rummy_0_Main_15,2nd Life Needed,,,,,,,,,2ª Vida necessária,
UI.Rummy_0_Main_16,Impure Sequence,,,,,,,,,Sequência Impura,
UI.Rummy_0_Main_17,set,,,,,,,,,Conjunto,
UI.Rummy_0_Main_18,Confirm,,,,,,,,,Confirmar,
UI.Rummy_0_Main_19,This will end your game! Are you sure you want to show?,,,,,,,,,Isso vai acabar com seu jogo! Você tem certeza de que quer mostrar?,
UI.Rummy_0_Main_21,Point,,,,,,,,,Ponto,
UI.Rummy_0_Main_22,Lost,,,,,,,,,Perdido,
UI.Rummy_0_Main_23,Next game Starts in,,,,,,,,,O próximo jogo começa em,
UI.Rummy_0_Main_24,You will lose  {gold}  Chips.Are you sure you want to quit the game?,,,,,,,,,Você vai perder  {gold}  Chips. Você tem a certeza de que quer desistir do jogo?,
UI.Rummy_0_Main_25,Point Value,,,,,,,,,Valor de ponto,
UI.Rummy_0_Main_26,SHOW HERE,,,,,,,,,Mostrar Aqui,
UI.Rummy_0_Main_28,You will lose {gold}. Are you sure you want to drop from the game?,,,,,,,,,Você vai perder [gold] . Você tem a certeza de que quer desistir do jogo?,
UI.Login_0_main_1,Phone number,,,,,,,,,Telefone n.o,
UI.Login_0_main_2,New Password,,,,,,,,,Nova Senha,
UI.Login_0_main_10,Code,,,,,,,,,Código,
UI.Login_0_main_11,Change,,,,,,,,,Mudar,
UI.Login_0_main_22,<<Login,,,,,,,,,<<Entrar,
UI.System_1,"No operation,leave the room",,,,,,,,,"Sem operação, saiam da sala",
UI.System_2,Please enter your Mobile Phone Number,,,,,,,,,"Por favor, introduza seu número de telefone celular",
UI.System_4,Please input password,,,,,,,,,"Por favor, introduzir a senha",
UI.System_7,Sorry we are updating our system right now please try again later,,,,,,,,,Desculpe que estamos atualizando nosso sistema agora por favor tente de novo mais tarde,
UI.System_10,Redemption amount is wrong,,,,,,,,,A quantidade de redenção esta errada,
UI.System_14,Please enter the withdrawal amount,,,,,,,,,Por favor ingrese el monto del retiro,
UI.System_15,bind Success！,,,,,,,,,Ligação bem sucedida,
UI.System_17,Please enter the UserName,,,,,,,,,Introduzir o Nome de Usuario,
UI.System_18,Please enter Phone,,,,,,,,,"Por favor, introduzir o telefone",
UI.System_19,Please enter Email,,,,,,,,,"Por favor, introduzir o Email",
UI.System_20,Please enter the correct email,,,,,,,,,Escreva o correto e-mail,
UI.System_22,Please enter the amount,,,,,,,,,"Por favor, inserir a quantidade",
UI.System_24,Please enter your nickname,,,,,,,,,"Por favor, introduzir seu apelido",
UI.System_25,Activity time end,,,,,,,,,Tempo de atividade final,
UI.System_26,The Maximum recharge amount is,,,,,,,,,A quantidade máxima de recarga é,
UI.System_27,The minimum recharge amount is,,,,,,,,,A quantidade mínima de recarga é,
UI.System_34,Not enough chips，Unable to enter the room，please recharge.,,,,,,,,,"Não há moedas suficientes, não é possível entrar na sala, por favor recarregue.",
UI.System_36,"Insufficient gold coins, please recharge!",,,,,,,,,"Moedas de ouro insuficientes, por favor recarregue!",
UI.System_42,"There is a new version, please go to update",,,,,,,,,"There is a new version, please go to update",
UI.System_43,Your account is logged in elsewhere. please log in again,,,,,,,,,Sua conta está logada em outro lugar. faça login novamente,
UI.System_44,"Network connection failed, please check your network status",,,,,,,,,"A conexão de rede falhou, por favor verifique seu status de rede",
UI.System_45,Please input your email,,,,,,,,,Por favor insira seu e-mail,
UI.System_46,Account is suspend .Please contact customer service,,,,,,,,,A conta está suspensa. Entre em contato com o atendimento ao cliente,
UI.System_47,Beneficiary Name error,,,,,,,,,Beneficiary Name error,
Sys_BetCount,Betting chips exceeding the limit,,,,,,,,,Betting chips exceeding the limit,
UI.Common_Ruppe,₹,,,,,,,,,₹,
Toast_RoomInfo_Error,"The room information request failed, error code:",,,,,,,,,"O pedido de informação da sala falhou, código de erro:",
HallGame_Tip_1,Please wait for the game to end before exiting the room,,,,,,,,,"Por favor, espere que o jogo acabe antes de sair da sala",
HallGame_Tip_2,Please select the bet amount,,,,,,,,,Por favor escolha a quantidade de aposta,
HallGame_Tip_7,"Insufficient gold coins, please recharge in time",,,,,,,,,"Moedas de ouro insuficientes, por favor recarregue em tempo",
HallGameDownTip,Please wait while the S{game} bill is being settled,,,,,,,,,"Por favor, esperem enquanto a lei S{game} está sendo liquidada",
HallSettlement,settlement,,,,,,,,,assentamento,
Error_Define_50001,Room status error,,,,,,,,,Erro no status da sala,
Error_Define_50002,Player not found,,,,,,,,,O jogador não foi encontrado,
Error_Define_50003,Unknown message,,,,,,,,,Mensagem desconhecida,
Error_Define_50004,Card mismatch,,,,,,,,,Cartão incompatível,
Error_Define_50005,Doubling is illegal,,,,,,,,,Doblar é ilegal,
Error_Define_50006,Pour water,,,,,,,,,Verse água,
Error_Define_50007,Bank grab / insufficient bet amount,,,,,,,,,Gravação bancária / quantidade insuficiente de apostas,
Error_Define_50008,Gold inadequate,,,,,,,,,Ouro inadequado,
Error_Define_50009,Wrong bet position,,,,,,,,,Posição errada de aposta,
Error_Define_50010,Bet exceeds the dealer amount,,,,,,,,,A aposta excede a quantidade do dealer,
Error_Define_50011,Bet more than the allowed amount,,,,,,,,,Aposto mais do que a quantidade permitida,
Error_Define_50014,"Cannot place a bet if there are not enough coins {S1}, please recharge!",,,,,,,,,"Não pode apostar se não há moedas suficientes {S1}, por favor recarregue!",
Error_Define_528000,This round has already ended,,,,,,,,,Esta rodada já terminou,
Error_Join_Hall,"The number of people in the game room exceeds the limit, please try later",,,,,,,,,"O número de pessoas na sala de jogos excede o limite, tente mais tarde.",
UI_Round,Round,,,,,,,,,Round,
UI_Nearly_Round,Nearly 20 rounds,,,,,,,,,Quase 20 rounds,
UI_SwitchTable,Switch table,,,,,,,,,Trocar tabela,
UI_Victory_Trend,Victory trend,,,,,,,,,Tenda de vitória,
UI_Stop_Betting,Stop betting,,,,,,,,,Pare de apostar,
UI_Start_Betting,Start betting,,,,,,,,,Começa a apostar,
UI_GameLHDZPlayeList,Player List,,,,,,,,,Lista de jogadores,
UI_Card_Model_Baozi,Trail or Set,,,,,,,,,Qualquer Triple,
UI_Card_Model_Shunjin,Pure Sequence,,,,,,,,,Flush Direito,
UI_Card_Model_Shunzi,Sequence,,,,,,,,,Direito,
UI_Card_Model_Jinhua,Color,,,,,,,,,Flush,
UI_Card_Model_Duizi,Pair,,,,,,,,,Par,
UI_Card_Model_Danz,High Card,,,,,,,,,Carta Alta,
UI_Honghei_Tip,Trail or Set×10  Pure Sequence×5  Color×3  Sequence×2  (9~A) Pair×1,,,,,,,,,Any Triple×10 Straight Flush ×5 Flush×3 Straight×2 Pair(9~A)×1,
HallGame_Compete_State,Dealer,,,,,,,,,Dealer,
HallGame_Bet_State,Bet,,,,,,,,,Aposta,
HallGame_End_State,Open,,,,,,,,,Abrir,
UI_Player_Vip_Received,Received,,,,,,,,,Recebido,
UI_Player_Vip_WashCode,Betting Bonus,,,,,,,,,Bônus de Aposta,
UI_Player_Vip_Unclaimable,Unclaimable,,,,,,,,,Inclaimável,
UI_Player_Vip_Bonus,Bonus,,,,,,,,,Bônus,
UI_Player_Vip_TOP1,RANK SYSTEM,,,,,,,,,SISTEMA DE CLASSIFICAÇÃO,
UI_Player_Vip_TOP,ALOT OF BENEFITS WITH ,,,,,,,,,MUITOS BENEFÍCIOS COM,
UI_Player_Vip_PROMOTION,PROMOTION BONUS,,,,,,,,,BÔNUS PROMOÇÃO,
UI_Player_Vip_Pri,VIP Privileges,,,,,,,,,Privilégios VIP,
UI_Player_Vip_TG,More details in our VIP Telegram channel,,,,,,,,,Mais detalhes em nosso canal VIP Telegram,
UI_Player_Vip_Lock,Lock,,,,,,,,,Trancar,
UI_Player_Vip_Not_standard,Uncompleted,,,,,,,,,Incompleto,
UI_Player_Vip_Thecodingquantity,Bet Amount,,,,,,,,,Total de aposta,
UI_Player_Vip_Topupisstill,Recharge,,,,,,,,,Depósito,
UI_Player_Vip_passed_evel,You have passed this level,,,,,,,,,Você passou este nível,
UI_Player_Vip_Currentlevel,Current level,,,,,,,,,Nível atual,
UI_Player_Vip_Maxlevel,Highest level,,,,,,,,,Highest level,
UI_Player_Vip_highest_level,Congratulations on reaching the highest level,,,,,,,,,Parabéns por alcançar o mais alto nível,
UI_Player_Vip_Equity_degree,Member privilege,,,,,,,,,Privilégio de membro,
UI_Player_Vip_Upgradeawards,PROMOTION BONUS,,,,,,,,,BÔNUS PROMOÇÃO,
UI_Player_Vip_Weeksamounts,WEEKLY BONUS,,,,,,,,,BÔNUS SEMANAL,
UI_Player_Vip_Monthlyamounts,MONTHLY BONUS,,,,,,,,,BÔNUS MENSAL,
UI_Player_Vip_WeekGift,WEEKLY BONUS,,,,,,,,,BÔNUS SEMANAL,
UI_Player_Vip_MonthlyGift,MONTHLY BONUS,,,,,,,,,BÔNUS MENSAL,
UI_Player_Vip_NetxLvInfo,The VIP{level} qualification can be unlocked by accumulating BRL  {gold}  recharge and valid bet of {bet} BRL. Get discounts on high games.,,,,,,,,,A qualificação VIP{level} pode ser desbloqueada acumulando BRL  {gold}  de recarga e aposta válida de {bet} BRL. Obtenha descontos em jogos altos.,
UI_VIP_Tier_Conditions,VIP{vip} Tier Conditions,,,,,,,,,Condições do Nível VIP{vip},
UI_VIP_Recharge_amount,Recharge amount,,,,,,,,,Quantidade recarga,
UI_VIP_Bet_amount,Bet Amount,,,,,,,,,Total de aposta,
UI_VIP_Daily_withdrawals,Daily withdrawals,,,,,,,,,Saques diários,
UI_VIP_Single_withdrawal_limit,Single withdrawal limit,,,,,,,,,Limite saque único,
UI_VIP_Daily_withdrawal_limit,Daily withdrawal limit,,,,,,,,,Limite saque diário,
UI_VIP_Code_Rewards,Bet Bonus,,,,,,,,,Aposta Bonus,
UI_VIP_JOIN,JOIN,,,,,,,,,JUNTE,
UI_VIP_BONUS,VIP BONUS,,,,,,,,,BÔNUS VIP,
UI_VIP_LEVELSREWARDS,LEVELS & REWARDS,,,,,,,,,NÍVEIS E PRÊMIOS,
UI_VIP_Themore,The more you play - the more you gain,,,,,,,,,Quanto mais você joga - mais ganha,
UI_VIP_INCREASEDCASHBACK,INCREASED CASHBACK,,,,,,,,,AUMENTO DE CASHBACK,
UI_VIP_Receive_more,Receive more of your conis back,,,,,,,,,Receba mais de seus conis de volta,
