none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es_co
UI.Charge_conditions2,"1.  You shall confirm: you shall, before starting to use the Service, fully read, understand and accept the whole content of this agreement, for once you choose “agree” to complete the registration, start the procedure or use the Service, you agree to abide by all the clauses hereof.
2.  You shall agree: the Company shall have the right to make unilateral amendments to this agreement as well as relative service regulations, service content, product instructions, product functions and other aspects thereof at any time, and publish such amendments by means of one or more of sending information, website notice, group sending SMS or other methods, with no need to inform you thereof individually; such amendments or adjustments shall not be considered as the Company’s violation of the clauses hereof. If you continue to use the Service after such amendments of the content hereof being published, you shall be considered as having fully read, understood and accepted the amended content hereof and will use the Service in accordance therewith. If you don’t agree the amended content hereof, you shall stop using the Service immediately.
3.  When you complete the account registration or activation process, you shall, in accordance with the requirements of the laws and regulations, follow the instructions of relevant websites to provide and timely update your information, which shall be real, timely, complete and accurate. If the Company has reasonable reasons to question your information to be false, unreal, outdated or incomplete, the Company shall have the right to send to you a notice of inquiry and/or correction requirement and shall have the right to directly delete relevant information, suspend the registration, suspend the account and even stop or cease to provide part of or all services to you. The Company shall take no responsibility for the service suspension, discontinuation or termination caused thereby and you shall bear any consequence caused thereby.
4.  You shall correctly provide and timely update such contact information as email, telephone number, address and postal code, in order for the Company to make effective contact with you. If the Company can’t contact through such contact information, you shall be fully responsible for any losses or any added fees caused in the process of you using the Service. You shall understand and agree that you shall have the obligation to make sure the validity of your contact information provided and make updates in accordance with the requirements of the Company in necessary.",,,,,,,,,"1. Você deve confirmar: antes de começar a usar o Serviço, você deve ler, entender e aceitar o conteúdo inteiro deste acordo, uma vez que você escolher concordar para completar o registro, iniciar o procedimento ou usar o Serviço, você concordar em respeitar todas as cláusulas deste acordo.
2. Você deve concordar: a Companhia terá o direito de fazer alterações unilaterais a este acordo, bem como regulamentos relativos de serviço, conteúdo de serviço, instruções de produto, funções de produto e outros aspectos deles em qualquer momento, e publicar essas alterações através de uma ou mais informações de envio, aviso de sítio web, grupo de envio de SMS o r outros métodos, sem necessidade de lhe informar individualmente; tais alterações ou ajustes não serão considerados como a violação da Companhia das cláusulas destas. Se você continuar a utilizar o Serviço após tais alterações do conteúdo desta publicação, você será considerado ter leito, entendido e aceito completamente a alteração d conteúdo aqui e usará o Serviço de acordo com isso. Se você não concordar com o conteúdo alterado aqui, você deve parar de usar o Serviço imediatamente.
3. Quando você completar o processo de registro ou ativação da conta, você deve, de acordo com os requisitos das leis e regulamentos, seguir as instruções de sites relevantes para fornecer e atualizar em tempo oportuno sua informação, que será real, oportuno, completa e precisa. Se a Companhia tem razões razoáveis para questionar sua informação a Companhia terá o direito de lhe enviar um aviso de inquérito e/ou requisito de correção e terá o direito de suprimir diretamente as informações relevantes, suspender o registro, suspender a conta e até parar ou deixar de fornecer parte ou todos os serviços a você. e nenhuma responsabilidade pela suspensão, interrupção ou terminação do serviço causada por isso e você terá qualquer consequência causada por isso.
4. Você deve fornecer corretamente e atualizar em tempo oportuno informações de contato como correio electrónico, número de telefone, endereço e código postal, para que a Companhia faça contato eficaz com você. Se a Companhia não pode contatar através dessa informação de contato, você será plenamente responsável por quaisquer perdas ou quaisquer taxas adicionadas causadas no processo de sua utilização o Serviço. Você entenderá e concordará que terá a obrigação de assegurar a validade de sua informação de contato fornecida e fazer actualizações em conformidade com os requisitos da Companhia, quando necessário.","""1. Deberá confirmar: deberá, antes de empezar a usar el Servicio, leer completamente, comprender y aceptar todo el contenido de este acuerdo, ya que una vez que elija ""aceptar"" para completar el registro, iniciar el procedimiento o utilizar el Servicio, usted acepta cumplir con todas las cláusulas aquí presente.
2. Deberá estar de acuerdo: la Compañía tendrá derecho a realizar modificaciones unilaterales a este acuerdo, así como a las normas de servicio relativas, el contenido del servicio, las instrucciones del producto, las funciones del producto y otros aspectos del mismo en cualquier momento, y publicar dichas modificaciones por medio de un o más de envío de información, aviso de sitio web, envío de SMS grupales u otros métodos, sin necesidad de informarle de ello individualmente; tales modificaciones o ajustes no se considerarán como una violación de las cláusulas del presente por parte de la Compañía. Si continúa utilizando el Servicio después de la publicación de dichas modificaciones del contenido del presente, se considerará que ha leído, entendido y aceptado completamente el contenido modificado del presente y utilizará el Servicio de acuerdo con el mismo. Si no está de acuerdo con el contenido modificado del presente, deberá dejar de usar el Servicio de inmediato.
3. Cuando complete el proceso de registro o activación de la cuenta, deberá, de acuerdo con los requisitos de las leyes y reglamentos, seguir las instrucciones de los sitios web pertinentes para proporcionar y actualizar oportunamente su información, que deberá ser real, oportuna, completa y precisa. Si la Compañía tiene razones razonables para cuestionar que su información sea falsa, irreal, desactualizada o incompleta, la Compañía tendrá derecho a enviarle un aviso de solicitud de consulta y/o corrección y tendrá derecho a eliminar directamente la información relevante, suspender el registro, suspender la cuenta e incluso detener o dejar de proporcionarle parte o todos los servicios. La Compañía no asumirá ninguna  responsabilidad por la suspensión, interrupción o terminación del servicio causada por ello y usted asumirá cualquier consecuencia causada por ello.
4. Usted deberá proporcionar correctamente y actualizar oportunamente la información de contacto como correo electrónico, número de teléfono, dirección y código postal, para que la Compañía se comunique con usted de manera efectiva. Si la Compañía no puede comunicarse a través de dicha información de contacto, usted será totalmente responsable de cualquier pérdida o tarifa adicional causada en el proceso de uso del Servicio. Debe comprender y aceptar que tendrá la obligación de asegurarse de la validez de la información de contacto proporcionada y de realizar actualizaciones de acuerdo con los requisitos de la Compañía en caso de ser necesario""."
UI.Charge_conditions3,"5.	You shall enjoy the right of using your account provided by the company only; you shall be responsible for your Internet Platform account and only you yourself can use your account; if you transfer, bestow or authorize the right of using your account to other people, the Company shall be notified in written form and the successor shall obtain the legal right to use the said account until the Company agrees therewith and the said successor signs this agreement; otherwise, The company shall have the right to suspend or terminate all services provided to you without bearing any responsibilities at any time.
6.	Since the Company will recognize your instruction through your username and password, therefore you shall take good care of your username and password and any loss or consequence caused by the exposure of the password shall be undertaken by you yourself only. You shall warrant not to reveal your account and password to anyone, and not to use anyone else’s Internet Platform account and password.
7.	If you find any situation where other people have stolen or illegally used your account and password or any other illegal authorization, you shall notify the Company immediately and effectively and request the Company to suspend relevant services. At the same time, you shall understand there will be a reasonable period before any action taken in accordance with your request, and therefore the Company shall not be responsible for any loss caused by any implemented instructions before that period.
8.	This agreement shall be composed of the clauses hereof and all regulations published on the Website. Related nouns can be quoted and referred to mutually. If there is any different understanding, the clauses hereof shall prevail.",,,,,,,,,"5. Você gozará do direito de utilizar sua conta fornecida apenas pela empresa; você será responsável pela sua conta da Plataforma Internet e só você pode utilizar sua conta; se você transferir, conceder ou autorizar o direito de utilizar sua conta a outras pessoas, a empresa será notificada em forma escrita e o sucessor obter o direito jurídico de utilizar a referida conta at é que a Companhia concorde com ela e o referido sucessor assine este acordo; caso contrário, a companhia terá o direito de suspender ou terminar todos os serviços fornecidos a você sem assumir qualquer responsabilidade em qualquer momento.
6. Uma vez que a Companhia reconhecerá sua instrução através do seu nome de usuário e senha, então você deve cuidar bem do seu nome de usuário e senha e qualquer perda ou consequência causada pela exposição da senha será realizada por você mesmo. Você deve garantir não revelar sua conta e senha a ninguém, e não usar uma a conta e a senha da Plataforma Internet de outra parte.
7. Se você encontrar qualquer situação em que outras pessoas tenham roubado ou utilizado ilegalmente sua conta e senha ou qualquer outra autorização ilegal, você deve notificar imediatamente e efetivamente a Companhia e pedir à Companhia que suspenda os serviços relevantes. n de acordo com seu pedido, e portanto a Companhia n ão será responsável por nenhuma perda causada por nenhuma instrução implementada antes desse período.
8. Este acordo deve ser composto pelas cláusulas do presente acordo e todas as regras publicadas no site web. Nomes relacionados podem ser citados e referidos mutuamente. Se houver algum entendimento diferente, as cláusulas desta cláusula prevalecerão.","5. Disfrutará del derecho de usar su cuenta proporcionada por la empresa solamente; usted será responsable de su cuenta de la Plataforma de Internet y solo usted mismo puede usar su cuenta; si transfiere, otorga o autoriza el derecho de uso de su cuenta a otras personas, la Compañía será notificada por escrito y el sucesor obtendrá el derecho legal de usar dicha cuenta hasta que la Compañía esté de acuerdo con ello y dicho sucesor firme este acuerdo ; en caso contrario, La empresa tendrá derecho a suspender o dar por terminados todos los servicios que se le presten sin asumir responsabilidad alguna en cualquier momento.
6. Ya que la Compañía reconocerá su instrucción a través de su nombre de usuario y contraseña, deberá cuidar bien su nombre de usuario y contraseña y cualquier pérdida o consecuencia causada por la exposición de la contraseña será asumida únicamente por usted. Deberá garantizar que no revelará su cuenta y contraseña a nadie, y que no utilizará la cuenta y la contraseña de la Plataforma de Internet de otra persona.
7. Si encuentra alguna situación en la que otras personas hayan robado o utilizado ilegalmente su cuenta y contraseña o cualquier otra autorización ilegal, deberá notificar a la Compañía de manera inmediata y efectiva y solicitar a la Compañía que suspenda los servicios pertinentes. Al mismo tiempo, deberá comprender que habrá un período razonable antes de cualquier acción tomada de acuerdo con su solicitud y, por lo tanto, la Compañía no será responsable de ninguna pérdida causada por cualquier instrucción implementada antes de ese período.
8. Este acuerdo estará compuesto por las cláusulas del mismo y todas las normas publicadas en el Sitio Web. Los sustantivos relacionados se pueden citar y hacer referencia mutuamente. Si hay algún entendimiento, prevalecerán las cláusulas del presente."
UI.Charge_conditions4,Refund Policy,,,,,,,,,Política reembolso,Politica de reembolso
UI.Charge_conditions5,"1.	If you uninstall an app soon after your first purchase, the system may automatically refund you. If you want to reinstall the app, you will have to buy it again and may not be able to apply for a refund.
2.	If you disclose your account details or payment details to others, you are suspected of abusing our policy, or you do not use authentication to protect your account, we will not normally be able to issue a refund.",,,,,,,,,"1. Se você desinstalar um aplicativo logo após sua primeira compra, o sistema pode automaticamente devolver-lhe. Se você quer reinstalar o aplicativo, você terá que comprá-lo de novo e pode não ser capaz de pedir uma restituição.
2. Se você divulga seus detalhes de conta ou detalhes de pagamento a outros, você é suspeito de abusar de nossa política, ou você não usa autenticação para proteger sua conta, normalmente não seremos capazes de emitir uma restituição.","""1. Si desinstala una aplicación poco después de su primera compra, el sistema puede reembolsarle automáticamente. Si desea reinstalar la aplicación, tendrá que volver a comprarla y es posible que no pueda solicitar un reembolso.
2. Si usted revela los detalles de su cuenta o los detalles de pago a otros, se sospecha que está abusando de nuestra política o no utiliza la autenticación para proteger su cuenta, normalmente no podremos emitir un reembolso""."
UI.Charge_conditions6,"3.	If you do not receive a refund in time, please check the status of the refund in your account. If the status is ""refunded"", the corresponding balance will be shown in your payment method. If the status is ""cancelled"", we have never charged for this order, so your payment method will not show the corresponding balance.
4.	You will be refunded according to the payment method you used in the initial purchase. Refund processing time may vary depending on the payment method you use.",,,,,,,,,"3. Se você não receber uma restituição em tempo, por favor verifique o estado da restituição na sua conta. Se o status for restituido, o saldo correspondente será mostrado no seu método de pagamento. Se o status for cancelado, nunca cobramos esta ordem, então seu método de pagamento não mostrará o saldo correspondente.
4. Você será reembolsado de acordo com o método de pagamento que utilizou na compra inicial. O tempo de processamento de reembolso pode variar dependendo do método de pagamento que você usa.","""3. Si no recibe un reembolso a tiempo, verifique el estado del reembolso en su cuenta. Si el estado es ""reembolsado"", el saldo correspondiente se mostrará en su método de pago. Si el estado es  ""cancelado"", nunca hemos cobrado por este pedido, por lo que su método de pago no mostrará el saldo correspondiente.
4. Se le reembolsará según el método de pago que utilizó en la compra inicial. El tiempo de procesamiento del reembolso puede variar según el método de pago que utilice."
UI.Charge_discount_1,Special Offer,,,,,,,,,Super desconto,Oferta especial
UI.Charge_discount_2,For  ony,,,,,,,,,Apenas uma vez,para ony
UI.Charge_rechargetime_1,Only one chance to get this bonus,,,,,,,,,Apenas uma chance para receber o bonus,Solo una oportunidad de obtener este bono
UI.cashout_0_main_1,Withdraw,,,,,,,,,Saque,Retirar
UI.cashout_0_main_3,Withdrawable,,,,,,,,,Retirável,Extraíble
UI.cashout_0_main_5,All,,,,,,,,,Todo,Todos
UI.cashout_0_main_10,Withdraw,,,,,,,,,Retirada,Retirar
UI.cashout_1_bank_2,<b><color=#59677C>Bank Number</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Número do banco</color><color=#ff0000>*</color></b>,<b><color=#59677C>Número de banco</color><color=#ff0000>*</color></b>
UI.cashout_1_bank_2_1,Bank Number,,,,,,,,,Número do banco,Número de banco
UI.cashout_1_bank_3,Input Bank Number,,,,,,,,,Número de conta,Ingrese número bancario
UI.cashout_1_bank_4,User Name,,,,,,,,,Nome de usuário,Nombre de usuario
UI.cashout_1_bank_4_1,input User Name,,,,,,,,,entrada Nome do Usuario,Ingrese nombre de usuario
UI.cashout_1_bank_5,IFSC Code,,,,,,,,,Código IFSC<color=#ff0000>*</color>,Código IFSC ( código del sistema financiero de India )
UI.cashout_1_bank_6,Input IFSC Code,,,,,,,,,Código IFSC(11 caracteres),Ingresar código IFSC
UI.cashout_1_bank_7,Bank Name,,,,,,,,,nome do banco,Nombre del banco
UI.cashout_1_bank_8,Input Bank Name,,,,,,,,,Nome Banco,Ingresar nombre del banco
UI.cashout_1_bank_9,Input Branch Bank Name,,,,,,,,,Nome Branch,Ingresar el nombre de la sucursal del banco
UI.cashout_1_bank_10,Phone Number,,,,,,,,,Telefone n.o<color=#ff0000>*</color>,Número de teléfono
UI.cashout_1_bank_11,Input Phone Number,,,,,,,,,Número de telefone,Ingrese número de teléfono 
UI.cashout_1_bank_12,Email,,,,,,,,,Email,Correo
UI.cashout_1_bank_13,Input Email Address,,,,,,,,,Email,Ingrese Dirección de correo electrónico
UI.cashout_1_bank_14,"Please make sure your Account Number is correct,we do not take any responsibility caused by incorrect input.",,,,,,,,,"Por favor, certifique-se que o número da sua conta esteja correto. Não assumimos a responsabilidade causada pelo seu número errado de conta","Por favor asegurarse de que su número de cuenta sea correcto, no asumimos ninguna responsabilidad por una entrada incorrecta."
UI.cashout_1_bank_16,Inbox,,,,,,,,,Email,Correo
UI.cashout_1_bank_17,RFC Number,,,,,,,,,RFC Number,Número de RFC
UI.cashout_1_bank_18,CURP Number,,,,,,,,,CURP Number,Número de CURP
UI.cashout_1_bank_19,Debit Number,,,,,,,,,Debit Number,Número de Debit
UI.cashout_1_bank_20,Phone Number,,,,,,,,,Phone Number,Número de Phone
UI.cashout_1_bank_21,Clabe Number,,,,,,,,,Clabe Number,Número de Clabe
UI.INVITE_0_main_5,Become your referral: Register successful and play {count} round games,,,,,,,,,"Torne-se seu referenciador: registre-se com sucesso, jogue o jogo {count}",Conviértase en su referencia: regístrese con éxito y juegue {count} rondas
UI.MakeMoney_0_main_9,My ID,,,,,,,,,Meu ID,Mi identificación
UI.MakeMoney_0_main_11_1,Total commission,,,,,,,,,Comissão total,Comisión total
UI.MakeMoney_0_main_14,Copy your link and share it with friends.,,,,,,,,,Copie seu link e compartilha com seus amigos.,Copia tu enlace y compártelo con amigos
UI.MakeMoney_0_main_15,Copy link,,,,,,,,,Copiar,Copiar link
UI.MakeMoney_0_main_16,One click sharing to social platform,,,,,,,,,Compartilhe na rede social com um click,Compartir con un clic en la plataforma social
UI.MakeMoney_0_main_17,Receive,,,,,,,,,Receber,Recibir
UI.MakeMoney_0_main_18,Transfer,,,,,,,,,Transferir,Transferir
UI.MakeMoney_0_main_19,New top-up players,,,,,,,,,Novos jogadores de recarga,Nuevos jugadores de recarga
UI.MakeMoney_1_MakeGold_1,Level,,,,,,,,,Nivel,Nivel 
UI.MakeMoney_3_MyCommission_5,Time,,,,,,,,,Hora,Tiempo tiempo
UI.MakeMoney_3_MyCommission_10,Game,,,,,,,,,Jogo,Juego
UI.MakeMoney_3_MyCommission_11,Level 1 commission,,,,,,,,,Comissão de nível 1,comisión de nivel 1
UI.MakeMoney_3_MyCommission_12,Contributors,,,,,,,,,Contribuidores,Colaboradores
UI.MakeMoney_3_MyCommission_13,Commission,,,,,,,,,Comissão,Comisión
UI.MakeMoney_3_MyCommission_14,His commission,,,,,,,,,His commission,His commission
UI.MakeMoney_1_Sharetoearn_1,Commission,,,,,,,,,Comissão,Comisión
UI.MakeMoney_1_Sharetoearn_2,Referrer ID,,,,,,,,,ID referência,Identificacion de referente
UI.MakeMoney_1_Sharetoearn_3,Directly added today,,,,,,,,,Diretamente acrescentado hoje,Añadido directamente hoy
UI.MakeMoney_1_Sharetoearn_4,Number of direct members,,,,,,,,,Número de membros diretos,Número de miembros directos
UI.MakeMoney_1_Sharetoearn_5,Today's team added,,,,,,,,,A equipe de hoje acrescentou,Equipos añadidos del día de hoy
UI.MakeMoney_1_Sharetoearn_6,Number of team,,,,,,,,,Número de Equipe(nova),Número del equipo
UI.MakeMoney_1_Sharetoearn_7,Get commission today,,,,,,,,,Obter comissão hoje,Obtener comisión hoy
UI.MakeMoney_1_Sharetoearn_8,Got commission yesterday,,,,,,,,,Recebi comissão ontem,Obtuvo comisión ayer 
UI.MakeMoney_4_Promotion_3,Rewards,,,,,,,,,Recompensas,Recompensas
UI.MakeMoney_4_Promotion_6,Direct members,,,,,,,,,Membros diretos(novos),Miembros directos
UI.MakeMoney_4_Promotion_12,Enter ID,,,,,,,,,Introduz ID,Ingresar ID
UI.MakeMoney_4_Promotion_13,ID,,,,,,,,,ID,Identificación
UI.MakeMoney_4_Promotion_15,Betting,,,,,,,,,Apostar,Apuesta
UI.MakeMoney_4_Promotion_17,Recharge,,,,,,,,,Recarrega,Recargo
UI.MakeMoney_4_Promotion_19,All,,,,,,,,,Todo,Todos
UI.MakeMoney_4_Promotion_20,Today,,,,,,,,,Hoje,Hoy
UI.MakeMoney_4_Promotion_22,This week,,,,,,,,,Essa semana,Esta semana
UI.MakeMoney_4_Promotion_23,Last week,,,,,,,,,Semana Anterior,Semana pasada
UI.MakeMoney_4_Promotion_24,This month,,,,,,,,,1 mês,Este mes
UI.MakeMoney_4_Promotion_32,1 day,,,,,,,,,1 dia,Día 1
UI.MakeMoney_4_Promotion_33,3 days,,,,,,,,,3 dias,Día 3
UI.MakeMoney_4_Promotion_36,Deposit Amount,,,,,,,,,Valor do depósito,Cantidad del depósito
UI.MakeMoney_5_Withdrawal_3,Time,,,,,,,,,Hora,Tiempo tiempo
UI.MakeMoney_5_Withdrawal_6,Status,,,,,,,,,Status,Estado
UI.MakeMoney_6_Direct_3,Search,,,,,,,,,Procurar,Buscar
UI.Head_1_name_2,16 English digits,,,,,,,,,16 dígitos,16 dígitos ingleses
UI.Notice_0_main_1,Promotions,,,,,,,,,promoção,Promociones
UI.Notice_0_main_2,Notice,,,,,,,,,Aviso,noticia
UI.Notice_left,left,,,,,,,,,Restante,izquierda
UI.OrderType_1,Successf,,,,,,,,,Bem-sucedido,Exitoso
UI.OrderType_2,In Reocess,,,,,,,,,En Receso,En Receso
UI.OrderType_3,Cancelled,,,,,,,,,Cancelado,Cancelado
UI.Service_0_main_2,Copy PIX Code,,,,,,,,,Copiar Código PIX,Copiar código PIX
UI_copy,Copy,,,,,,,,,cópia de,copiar 
UI.Settings_0_main_1,Settings,,,,,,,,,Conjunto,ajustes
UI.Settings_0_main_2,Sound,,,,,,,,,Som,Sonido
UI.Settings_0_main_3,Vibration,,,,,,,,,Vibração,vibración
UI.Settings_0_main_5,Help,,,,,,,,,Ajuda,Ayuda
UI.Settings_0_main_6,Logout,,,,,,,,,Sair,Cerrar sesión
UI.Settings_1_Help_2,Pure Sequence,,,,,,,,,Sequência Pura,secuencia pura (escalera de color)
UI.Settings_1_Help_9,Unfold,,,,,,,,,Desdobrar,Desplegar
UI.Settings_1_Help_15,Score,,,,,,,,,Pontuação,puntuación
UI_Music,Music,,,,,,,,,Soar,Música
UI_LoginMailText,LoginMailText,,,,,,,,,Selecione o tipo de e-mail,Seleccione el tipo correo electrónico
UI.TP_0_Main_1,limit,,,,,,,,,limite,límite
UI.TP_0_Main_2,Mine,,,,,,,,,Meu,Mina
UI.TP_0_Main_3,Exit To Lobby,,,,,,,,,Sair para o Lobby,salir al Lobby
UI.TP_0_Main_4,Setting,,,,,,,,,Configurações,ajuste
UI.TP_0_Main_5,How to play,,,,,,,,,Como jogar,cómo jugar
UI.TP_0_Main_7,Boot Amount,,,,,,,,,Quantidade de arranque,cantidad de arranque
UI.TP_0_Main_8,Max Blinds,,,,,,,,,Max Blinds,ciegas máximas
UI.TP_0_Main_9,Chaal Limit,,,,,,,,,Chaal Limit,Límite de Chaal
UI.TP_0_Main_10,Pot Limit,,,,,,,,,Limite de pots,Límite de pozo 
UI.TP_0_Main_11,see,,,,,,,,,ver,ver
UI.TP_0_Main_12,Seen,,,,,,,,,Visto,visto
UI.TP_0_Main_13,Pack,,,,,,,,,Pacote,paquete
UI.TP_0_Main_14,Packed,,,,,,,,,Empacotado,empaquetado
UI.TP_0_Main_15,Unfold,,,,,,,,,Desdobrar,Desplegar
UI.TP_0_Main_16,Side Show,,,,,,,,,Mostra lateral,muestra paralela
UI.TP_0_Main_17,Blind,,,,,,,,,Cego,ciega
UI.TP_0_Main_18,Chaal,,,,,,,,,Chaal,Chaal
UI.TP_0_Main_19,Declined,,,,,,,,,Rejeitado,rechazado
UI.TP_0_Main_20,Quit game will discard card?,,,,,,,,,Sair do jogo vai descartar as cartas?,salir del juego descartará una carta?
UI.TP_0_Main_21,Syed requested a side show?,,,,,,,,,Syed pediu um show lateral?,Syed solicitó mostrar paralelamente?
UI.TP_0_Main_22,Accept,,,,,,,,,Aceitar,aceptar
UI.TP_0_Main_23,"Sorry,Your balance is insufficient ,Please recharge in time.",,,,,,,,,"Desculpe, seu saldo é insuficiente, recarregue a tempo.","disculpa, tu balance es insuficiente, por favor recarga cuando quieras"
UI.Rummy_0_Main_1,Per Point,,,,,,,,,Por ponto,por punto
UI.Rummy_0_Main_3,No Cards,,,,,,,,,Sem cartas,sin cartas
UI.Rummy_0_Main_4,Number of Decks,,,,,,,,,Número de Decks,número de barajas
UI.Rummy_0_Main_5,Max Winnings,,,,,,,,,Máximo de vitórias,ganancias máximas
UI.Rummy_0_Main_6,Note:If you quit a game in progress you will lose upto,,,,,,,,,Nota: Se você desistir de um jogo em progresso você vai perder até,"nota: si abandona un juego en curso, perderá hasta"
UI.Rummy_0_Main_6_1,chips.,,,,,,,,,Moedas,fichas/chips
UI.Rummy_0_Main_7,Game Starting in,,,,,,,,,Jogo Começando,juego comienza en 
UI.Rummy_0_Main_8,Drop,,,,,,,,,Largue,soltar 
UI.Rummy_0_Main_9,Group,,,,,,,,,Grupo,grupo 
UI.Rummy_0_Main_10,Discard,,,,,,,,,Descartar,desechar
UI.Rummy_0_Main_11,Not Correct,,,,,,,,,Não correto,incorrecto
UI.Rummy_0_Main_12,1st Life,,,,,,,,,1ª Vida,primera vida
UI.Rummy_0_Main_13,2nd Life,,,,,,,,,2ª Vida,segunda vida
UI.Rummy_0_Main_14,1st Life Needed,,,,,,,,,Primeira vida necessária,se necesita 1er vida
UI.Rummy_0_Main_15,2nd Life Needed,,,,,,,,,2ª Vida necessária,se necesita 2da vida
UI.Rummy_0_Main_16,Impure Sequence,,,,,,,,,Sequência Impura,secuencia impura
UI.Rummy_0_Main_17,set,,,,,,,,,Conjunto,conjunto
UI.Rummy_0_Main_18,Confirm,,,,,,,,,Confirmar,confirmar
UI.Rummy_0_Main_19,This will end your game! Are you sure you want to show?,,,,,,,,,Isso vai acabar com seu jogo! Você tem certeza de que quer mostrar?,¡Esto teriminará su juego! ¿Seguro que quiere mostrar?
UI.Rummy_0_Main_21,Point,,,,,,,,,Ponto,punto
UI.Rummy_0_Main_22,Lost,,,,,,,,,Perdido,perdido
UI.Rummy_0_Main_23,Next game Starts in,,,,,,,,,O próximo jogo começa em,próximo juego comienza en 
UI.Rummy_0_Main_24,You will lose  {gold}  Chips.Are you sure you want to quit the game?,,,,,,,,,Você vai perder  {gold}  Chips. Você tem a certeza de que quer desistir do jogo?,Perderás {gold} Chips. ¿Estás seguro de que quieres salir del juego?
UI.Rummy_0_Main_25,Point Value,,,,,,,,,Valor de ponto,valor de punto
UI.Rummy_0_Main_26,SHOW HERE,,,,,,,,,Mostrar Aqui,MOSTRAR AQU´I
UI.Rummy_0_Main_28,You will lose {gold}. Are you sure you want to drop from the game?,,,,,,,,,Você vai perder [gold] . Você tem a certeza de que quer desistir do jogo?,Perderás {gold} . ¿Está seguro que quiere salir del juego?
UI.Login_0_main_1,Phone number,,,,,,,,,Telefone n.o,Número de teléfono
UI.Login_0_main_2,New Password,,,,,,,,,Nova Senha,Nueva contraseña
UI.Login_0_main_10,Code,,,,,,,,,Código,Código
UI.Login_0_main_11,Change,,,,,,,,,Mudar,Cambiar 
UI.Login_0_main_22,<<Login,,,,,,,,,<<Entrar,<<iniciar sesión
UI.System_1,"No operation,leave the room",,,,,,,,,"Sem operação, saiam da sala","no hay operación, salga de la habitación"
UI.System_2,Please enter your Mobile Phone Number,,,,,,,,,"Por favor, introduza seu número de telefone celular",por favor ingrese su número móvil
UI.System_4,Please input password,,,,,,,,,"Por favor, introduzir a senha",por favor ingrese la contraseña
UI.System_7,Sorry we are updating our system right now please try again later,,,,,,,,,Desculpe que estamos atualizando nosso sistema agora por favor tente de novo mais tarde,"Lo sentimos, estamos actualizando nuestro sistema en este momento. por favor, Vuelva a intentarlo más tarde."
UI.System_10,Redemption amount is wrong,,,,,,,,,A quantidade de redenção esta errada,el importe del canje es incorrecto
UI.System_14,Please enter the withdrawal amount,,,,,,,,,Por favor ingrese el monto del retiro,por favor ingrese el monto del retiro
UI.System_15,bind Success！,,,,,,,,,Ligação bem sucedida,¡vinculación exitosa!
UI.System_17,Please enter the UserName,,,,,,,,,Introduzir o Nome de Usuario,por favor ingrese el nombre de usuario
UI.System_18,Please enter Phone,,,,,,,,,"Por favor, introduzir o telefone",por favor ingrese teléfono
UI.System_19,Please enter Email,,,,,,,,,"Por favor, introduzir o Email",por favor ingrese correo electrónico
UI.System_20,Please enter the correct email,,,,,,,,,Escreva o correto e-mail,por favor ingrese correctamente el correo electrónico 
UI.System_22,Please enter the amount,,,,,,,,,"Por favor, inserir a quantidade",por favor ingrese el importe
UI.System_24,Please enter your nickname,,,,,,,,,"Por favor, introduzir seu apelido",por favor ingrese su apodo
UI.System_25,Activity time end,,,,,,,,,Tempo de atividade final,fin de tiempo de actividad
UI.System_26,The Maximum recharge amount is,,,,,,,,,A quantidade máxima de recarga é,el importe máximo de recarga es 
UI.System_27,The minimum recharge amount is,,,,,,,,,A quantidade mínima de recarga é,el importe mínimo de recarga es 
UI.System_34,Not enough chips，Unable to enter the room，please recharge.,,,,,,,,,"Não há moedas suficientes, não é possível entrar na sala, por favor recarregue.","no hay suficientes fichas, no se puede ingresar a la sala, por favor recargue"
UI.System_36,"Insufficient gold coins, please recharge!",,,,,,,,,"Moedas de ouro insuficientes, por favor recarregue!","monedas de oro insuficientes, ¡recargue!"
UI.System_42,"There is a new version, please go to update",,,,,,,,,"There is a new version, please go to update","There is a new version, please go to update"
