none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es_co
UI.UIReceiveRedEnvelope3,The bonus has been deposited into your wallet,,,,,,,,,O bônus foi depositado na sua carteira,El bono ha sido depositado en tu billetera
UI.UIReceiveRedEnvelope4,Congratulations on the award,,,,,,,,,Parabéns pelo prêmio,Felicitaciones por el premio.
UI.UIGC1,License,,,,,,,,,Licença,Licencia
UI.Learnmore,Learn more,,,,,,,,,Learn more,Aprende más
UI.UIBetRecordtotal,Total Bonus,,,,,,,,,Total Bonus,Bono total
UI.UIBetRecordslot,Slots Bonus,,,,,,,,,Slots Bonus,Bono de slots
UI.UIBetRecordvideo,Live Casino Bonus,,,,,,,,,Live Casino Bonus,Bono de Live Casino
UI.UIBetBonusSlots,Slots,,,,,,,,,Slots,Slots
UI.UIBetBonusLive Casino,Live Casino,,,,,,,,,Live Casino,Live Casino
UI.UIBetBonusIn-House,In-House,,,,,,,,,In-House,In-House
UI.20% CASH BACK,20% CASH BACK,,,,,,,,,20% CASH BACK,20% CASH BACK
UI.UIStoreAndCashCardholderName,<b><color=#59677C>Cardholder Name</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Nome do Titular</color><color=#ff0000>*</color></b>,<b><color=#59677C>Nombre del titular de la tarjeta</color><color=#ff0000>*</color></b>
UI.UIStoreAndCashInputCardholderName,Input Cardholder Name,,,,,,,,,Insira o nome do titular do cartão,Introduzca el nombre del titular de la tarjeta
UI.UIStoreAndCashElectronicWalletType,<b><color=#59677C>Electronic Wallet Type</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Tipo de carteira eletrônica</color><color=#ff0000>*</color></b>,<b><color=#59677C>Tipo de billetera electrónica</color><color=#ff0000>*</color></b>
UI.UIStoreAndCashSelectBank,Select Bank,,,,,,,,,Selecione Banco,Seleccionar banco
UI.UIStoreAndCashBankAccountType,<b><color=#59677C>Bank Account Type</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Tipo de conta bancária</color><color=#ff0000>*</color></b>,<b><color=#59677C>Tipo de cuenta bancaria</color><color=#ff0000>*</color></b>
UI.UIStoreAndCashBankAccountNumber,<b><color=#59677C>Bank Account Number</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Número da conta de banco</color><color=#ff0000>*</color></b>,<b><color=#59677C>Número de cuenta bancaria</color><color=#ff0000>*</color></b>
UI.UIStoreAndCashInputInBankAccount,Input In Bank Account,,,,,,,,,Entrada em conta bancária,Entrada en cuenta bancaria
UI.UIStoreAndCashSelectType,<b><color=#59677C>Select Type</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Selecione o tipo</color><color=#ff0000>*</color></b>,<b><color=#59677C>Seleccionar el tipo</color><color=#ff0000>*</color></b>
UI.UIStoreAndCashCertificateNumber,<b><color=#59677C>Certificate number</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Número do certificado</color><color=#ff0000>*</color></b>,<b><color=#59677C>Número de certificado</color><color=#ff0000>*</color></b>
UI.UIStoreAndCashCompletethe,Input Certificate number,,,,,,,,,Insira o número do certificado,Número de certificado de entrada
UI.UIActivityDailyRegistrations1,"<color=#9EA9AA>Logged in </color>",,,,,,,,,"<color=#9EA9AA>Logado </color>","<color=#9EA9AA>Iniciado sesión </color>"
UI.UIActivityDailyRegistrations2,"<color=#9EA9AA> consecutive days</color>",,,,,,,,,"<color=#9EA9AA> dias consecutivos</color>","<color=#9EA9AA> días consecutivos</color>"
UI.UIActivityDailyRegistrations3,"<color=#9EA9AA>Picked up: </color>",,,,,,,,,"<color=#9EA9AA>Pegou: </color>","<color=#9EA9AA>Recogido: </color>"
UI.UIActivityDailyRegistrations4,"<color=#9EA9AA>And loading is required：</color>",,,,,,,,,"<color=#9EA9AA>E o carregamento é necessário: </color>","<color=#9EA9AA>Y se requiere cargar：</color>"
UI.UIActivityDailyRegistrations5,"<color=#9EA9AA>Bets: </color>",,,,,,,,,"<color=#9EA9AA>Apostas: </color>","<color=#9EA9AA>Apuestas: </color>"
UI.UIActivityDailyRegistrations6,"<size=26><color=#f9de06>Event conditions:</color></size>
Deposit + total bet of the day (redefined after 7 consecutive days)<br/>
<size=26><color=#f9de06>Event description: </color></size>
1. You can only get the fixed bonus if you log in and complete the deposit and betting conditions.
2. This activity is a continuous login activity (if the login is interrupted, it will start again on the first day)
3. Rewards can be claimed on iOS, Android, H5 and PC.
4. The bonus attributable to this event requires 1x the bet before it can be withdrawn.
5. This activity is limited to normal operations through this account. Using external plug-ins, taking over different devices, mutual search, arbitration, interface protocols, vulnerability scanning, group control and other technical means to participate are prohibited. Otherwise, rewards will be canceled or deducted and eventually frozen or blacklisted.
6. To avoid differences in the understanding of the text, this platform has the final right to interpret this event.",,,,,,,,,"<size=26><color=#f9de06>Condições do evento:</color></size>
Depósito + aposta total do dia (redefinido após 7 dias consecutivos)<br/>
<size=26><color=#f9de06>Descrição do evento: </color></size>
1. Você só poderá obter o bônus fixo se fizer login e preencher as condições de depósito e apostas.
2. Esta atividade é uma atividade de login contínua (se o login for interrompido, ele será reiniciado no primeiro dia)
3. As recompensas podem ser resgatadas em iOS, Android, H5 e PC.
4. O bônus atribuível a este evento requer 1x a aposta antes de poder ser retirado.
5. Esta atividade está limitada às operações normais através desta conta. É proibido o uso de plug-ins externos, o controle de diferentes dispositivos, busca mútua, arbitragem, protocolos de interface, verificação de vulnerabilidades, controle de grupo e outros meios técnicos de participação. Caso contrário, as recompensas serão canceladas ou deduzidas e eventualmente congeladas ou colocadas na lista negra.
6. Para evitar diferenças na compreensão do texto, esta plataforma tem o direito final de interpretar este evento."​,"<size=26><color=#f9de06>Condiciones del evento:</color></size>
Depósito + apuesta total del día (redefinida después de 7 días consecutivos)<br/>
<size=26><color=#f9de06>Descripción del evento: </color></size>
1. Solo puedes obtener el bono fijo si inicias sesión y completas las condiciones de depósito y apuestas.
2. Esta actividad es una actividad de inicio de sesión continuo (si se interrumpe el inicio de sesión, comenzará nuevamente el primer día)
3. Las recompensas se pueden reclamar en iOS, Android, H5 y PC.
4. El bono atribuible a este evento requiere 1 vez la apuesta antes de poder retirarse.
5. Esta actividad se limita a las operaciones normales a través de esta cuenta. Está prohibido utilizar complementos externos, apoderarse de diferentes dispositivos, búsqueda mutua, arbitraje, protocolos de interfaz, escaneo de vulnerabilidades, control de grupos y otros medios técnicos para participar. De lo contrario, las recompensas se cancelarán o deducirán y eventualmente se congelarán o se incluirán en la lista negra.
6. Para evitar diferencias en la comprensión del texto, esta plataforma tiene el derecho final de interpretar este evento."
UI.UICashWheel1,You still need,,,,,,,,,Ainda precisa,Aún necesitas
UI.UICashWheel2,to withdraw,,,,,,,,,retirar,retirarse
UI.UICashWheel3,Expires at,,,,,,,,,Expira em,Vence en
UI.UICashWheel4,Invite friends to help,,,,,,,,,Convide amigos para ajudar,Invitar a amigos a ayudar
UI.UICashWheel5,Report,,,,,,,,,Relatório,Informe
UI.UICashWheel6,Rules,,,,,,,,,Regras,Normas
UI.UICashWheel7,"1. You will be able to withdraw money when the accumulated amount reaches R$100\n
2. Inviting friends to register on Bigerwin.COM will help you withdraw money quickly. For each friend who successfully registers, you will get 1 drawing opportunity.\n
4. Each user's activity is valid for 3 days. If no withdrawal is made within 3 days, the funds will be lost.\n
5. The winnings will be added to your wallet and you can play for free and win more real money or withdraw it directly.\n
6. All illegal means of obtaining bonuses will not be recognized, including but not limited to account swiping on the same IP and the same device. We will eliminate the bonuses obtained by said accounts. The final interpretation right of this activity belongs to Bigerwin. COM",,,,,,,,,"1. Você poderá sacar dinheiro quando o valor acumulado atingir R$100\n
2. Convidar amigos para se registrarem no Bigerwin.COM ajudará você a sacar dinheiro rapidamente. Para cada amigo que se registrar com sucesso, você terá 1 oportunidade de sorteio.\n
4. A atividade de cada usuário é válida por 3 dias. Se nenhum saque for feito dentro de 3 dias, os fundos serão perdidos.\n
5. Os ganhos serão adicionados à sua carteira e você poderá jogar de graça e ganhar mais dinheiro real ou sacá-lo diretamente.\n
6. Todos os meios ilegais de obtenção de bônus não serão reconhecidos, incluindo, mas não limitado a, swiping de conta no mesmo IP e no mesmo dispositivo. Eliminaremos os bônus obtidos por tais contas. O direito de interpretação final desta atividade pertence ao Bigerwin. COM","1. Podrás retirar dinero cuando el monto acumulado llegue a R$100\n
2. Invitar a amigos a registrarse en Bigerwin.COM te ayudará a retirar dinero rápidamente. Por cada amigo que se registre exitosamente, obtendrás 1 oportunidad de sorteo.\n
4. La actividad de cada usuario es válida por 3 días. Si no se realiza ningún retiro dentro de los 3 días, los fondos se perderán.\n
5. Las ganancias se agregarán a tu billetera y podrás jugar gratis y ganar más dinero real o retirarlo directamente.\n
6. No se reconocerán todos los medios ilegales para obtener bonos, incluidos, entre otros, el deslizamiento de la cuenta en la misma IP y el mismo dispositivo. Eliminaremos los bonos obtenidos por dichas cuentas. El derecho de interpretación final de esta actividad pertenece a Bigerwin. COM"
UI.UICashWheel8,"We're sorry, your withdrawal progress has not reached 100%. Try again to win it.",,,,,,,,,"Lamentamos, mas o progresso da sua retirada não atingiu 100%. Tente novamente para vencer.","Lo sentimos, el progreso de tu retiro no ha alcanzado el 100%. Inténtalo nuevamente para ganarlo."
UI.UICashWheel9,"Congratulations on successfully winning the bonus, start over and win again",,,,,,,,,"Parabéns por ganhar o bônus com sucesso, recomece e ganhe novamente","Felicitaciones por ganar exitosamente el bono, comience de nuevo y gane nuevamente"
UI.UICashWheel10,Begin,,,,,,,,,Começar,Comenzar
UI.UICashWheel11,TO WITHDRAW,,,,,,,,,SACAR,RETIRAR
UI.UICashWheelWithdraw1,You will soon be able to withdraw,,,,,,,,,Em breve você poderá sacar,Pronto podrás retirar
UI.UICashWheelWithdraw2,Total money to be paid soon,,,,,,,,,Dinheiro total a ser pago em breve,Dinero total a pagar pronto
UI.UICashWheelWithdraw3,The payment request has been submitted,,,,,,,,,A solicitação de pagamento foi enviada,La solicitud de pago ha sido enviada.
UI.UICashWheelWithdraw4,will be paid into your account,,,,,,,,,será pago em sua conta,se pagará en su cuenta
UI.UICashWheelWithdraw5,Invite friends to help with,,,,,,,,,Convide amigos para ajudar,Invita a amigos para que te ayuden
UI.UIStore1,confirm payment,,,,,,,,,confirme o pagamento,confirmar pago
UI_Game1050_Minimum,Minimum Bet,Minimum Bet,Minimum Bet,Minimum Bet,最低投注額,Minimum Bet,Taruhan Minimum,Minimum Bet,Minimum Bet,Aposta Mínima,Apuesta Mín
UI_Game1050_Maximum,Maximum Bet,Maximum Bet,Maximum Bet,Maximum Bet,最大賭注,Maximum Bet,Taruhan Maksimum,Maximum Bet,Maximum Bet,Aposta Máxima,Apuesta Máx
UI_Game1050_Close,Close,Close,Close,Close,關閉,Close,Tutup,Close,Close,Fechar,Cerrar
UI_Game1051_Wildsymbol,Wild symbol substitutes for all symbols.,,,,,,,,,Wild symbol substitui todos os símbolos.,El símbolo Wild sustituye a todos los símbolos.
UI_Game1051_Whenallsymbol,When all symbol in the reels are involved in a win，the win will be multiplied by x10.,,,,,,,,,"Quando todos os symbol nas bobinas estiverem envolvidos em uma vitória, a vitória será multiplicada por x10.","Cuando todos los símbolos de los carretes participan en una premio, éste se multiplica por 10."
UI_Game1051_Standachance,Stand a chance to win up to 2500x of the total bet  amount.,,,,,,,,,Tenha a chance de ganhar até 2500x do valor total da aposta.,"Aprovecha la oportunidad para ganar hasta 2500 veces la cantidad total apostada."
UI_Game1051_Onlythehighest,Only the highest win per bet line is paid.,,,,,,,,,Apenas a vitória mais alta por linha de aposta é paga.,Sólo se paga la ganancia más alta por línea de apuesta.
UI_Game1051_ Betlines,Bet lines win if the winning symbols are in succession  from the leftmost reel to the right.,,,,,,,,,As linhas de aposta ganham se os symbol vencedores estiverem em sucessão do carretel mais à esquerda para a direita.,"Las líneas de apuesta resultan premiadas si los símbolos ganadores aparecen de forma consecutiva, comenzando por el carrete situado más a la izquierda."
UI_Game1051_ Allwinsshown,All wins shown in cash.,,,,,,,,,Todas as vitórias mostradas em dinheiro.,"Todos los premios se muestran en dinero."
UI_Game1051_FortunePanda,Fortune Tiger Feature,,,,,,,,,Característica Fortune Tiger,Función de Tigre de la Fortuna
UI_Game1051_Duringanyspin,"During any spin, the Fortune Tiger Feature may be  randomly triggered while the reels are spinning.",,,,,,,,,"Durante qualquer giro, a Característica Fortune Tiger pode ser acionada aleatoriamente enquanto os rolos estão girando.","Durante cualquier giro, la función Tigre de la Fortuna puede activarse aleatoriamente mientras los carretes estén girando."
UI_Game1051_DuringtheFortune,"During the Fortune Tiger Feature, a symbol is  randomly chosen( exluding Wild symbol) , and the  reels will consist only the randomly chosen symbol, Wild symbol or blank space.",,,,,,,,,"Durante a Característica Fortune Tiger, um symbol é escolhido aleatoriamente (excluindo o Wild symbol), e as bobinas consistirão apenas no symbol, Wild symbol ou espaço em branco escolhido aleatoriamente.","Durante la Función Tigre de la Fortuna, se elige un símbolo al azar (excepto el símbolo Wild), y los carretes estarán formados únicamente por el símbolo elegido al azar, el símbolo Wild o el espacio en blanco."
UI_Game1051_Afterallreels,"After all reels stop spinning, if there is 1 or more  additional symbol(either a randomly chosen symbol  or a Wild symbol) appearing on the reels, all reels will  respin again with the previously appeared symbols  staying in their positions.",,,,,,,,,"Depois que todas as bobinas pararem de girar, se houver 1 ou mais symbol adicionais (seja um symbol escolhido aleatoriamente ou um Wild symbol) aparecendo nas bobinas, todas as bobinas irão girar novamente com os symbol exibidos anteriormente permanecendo em suas posições.","Después de que todos los carretes dejen de girar, si aparecen 1 o más símbolos adicionales (ya sea un símbolo elegido al azar o Wild) en los carretes, todos los carretes volverán a girar con los símbolos aparecidos anteriormente permaneciendo en sus posiciones."
UI_Game1051_Afterallreelsstop,"After all reels stop spinning, if there is no more  additional symbol (either a randomly chosen symbol  or a Wild symbol) appearing on the reels, the  Fortune Tiger feature ends and wins are paid.",,,,,,,,,"Depois que todas as bobinas pararem de girar, se não houver mais symbol adicional (seja um symbol escolhido aleatoriamente ou um Wild symbol) aparecendo nas bobinas, o Característica Fortune Tiger termina e as vitórias são pagas.","Después de que todos los carretes dejen de girar, si no aparece ningún símbolo adicional (ya sea un símbolo elegido al azar o un Wild) en los carretes, la función Tigre de la Fortuna termina y se pagan los premios."
UI_Game1051_RulesTitle,Game Rules,,,,,,,,,Regras do Jogo,Reglas del juego
UI_Game1051_Title,Fortune Tiger,,,,,,,,,Fortune Tiger,Fortune Tiger
UI_Game1051_TitleDesc1,"Fortune Tiger is a 3-reel, 3-row video slot featuring respins and x10 multiplier.",,,,,,,,,"Fortune Tiger é uma slot de vídeo de  3 cilindros e 3 linhas com novas rodadas e multiplicador x10.","Fortune Tiger es una tragaperras de vídeo de 3 carretes y 3 filas que incluye regiros y un multiplicador x10."
UI_Game1051_TitleDesc2_1,"The game is played with 5 bet lines (fixed), bet level of %{minBetMtp} to %{maxBetMtp} and bet size of %{minChip} to %{maxChip}.",,,,,,,,,"O jogo é jogado com 5 linhas de aposta (fixas), umvalor de aposta entre %{minBetMtp} e %{maxBetMtp} e valores de aposta entre %{minChip} e %{maxChip}.","Se juega con 5 líneas de apuesta (fijas), un nivel de apuesta entre %{minBetMtp} y %{maxBetMtp} y un tamaño de apuesta entre %{minChip} y %{maxChip}."
UI_Game1051_InGameCurrency,"The in-game currency is %{configuredValue}.",,,,,,,,,"A moeda do jogo é %{configuredValue}.","La divisa dentro del juego es %{configuredValue}."
UI_Game1051_BetSize,"The Bet Size is set using the ""Bet Size"" selector.",,,,,,,,,"A aposta é definida com o seletor ""Aposta"".","La apuesta se establece con el selector ""Apuesta""."
UI_Game1051_BetLevel,"The Bet Level is set using the ""Bet Level"" selector.",,,,,,,,,"O nível da aposta é definido com o seletor ""Nível de aposta"".","El nivel de apuesta se establece con el selector ""Nivel de apuesta""."
UI_Game1051_BetAmount,"The Bet Amount is set using the ""Bet Amount"" selector.",,,,,,,,,"O valor da aposta é definido com o seletor ""Valor de aposta"".","El importe de la apuesta se define con el selector ""Importe de la apuesta""."
UI_Game1051_CashWallet,"""Cash Wallet"" displays the cash available for wager.",,,,,,,,,"A ""Carteira de dinheiro"" apresenta o dinheiro disponível para apostar.","El ""Money Wallet"" muestra el dinero disponible para apostar."
UI_Game1051_AutoSpinPlays,"""Auto Spin"" automatically plays the game for a selected number of rounds.",,,,,,,,,"A ""Rodada automática"" joga automaticamente durante o número de rodadas selecionado.","El ""Giro Automático"" se reproduce automáticamente durante el número de giros seleccionado."
UI_Game1051_PayoutAccordingToPaytable,"Winning combinations and payouts are made according to the ""Paytable"".",,,,,,,,,"As combinações e pagamentos vencedores são feitos de acordo com a ""Tabela de pagamentos"".","Las combinaciones ganadoras y los pagos se realizan de acuerdo con la ""Tabla de pagos""."
UI_Game1051_WinDetailBreakdown,"A bet way win in cash is equal to the value shown in the ""Paytable""  multiplied by the bet size and bet level.",,,,,,,,,"O ganho de linha de aposta em dinheiro é igual ao valor apresentado na ""Tabela de pagamentos"", multiplicado pela aposta e pelo nível de aposta.","La ganancia de la línea de apuesta en efectivo es igual a la cantidad que se muestra en la ""Tabla de pagos"" multiplicada por la apuesta y el nivel de apuesta."
UI_Game1051_HighestWinIsPaid,"Only the highest win per bet line is paid.",,,,,,,,,"Apenas é pago o maior ganho por linha de aposta.","Sólo se paga la mayor apuesta por línea."
UI_Game1051_WinFromLeftmost,"Bet lines win if the winning symbols are in succession from the leftmost reel to the right.",,,,,,,,,"Ganha com as linhas de aposta, se os símbolos vencedores se sucederem a partir do cilindro mais à esquerda.","Se gana con las líneas de apuesta, si los símbolos ganadores se suceden desde el carrete más a la izquierda."
UI_Game1051_SimultanuousWin,"Simultaneous wins on different bet lines are added.",,,,,,,,,"São adicionados os ganhos simultâneos em diferentes linhas de aposta.","Se añaden ganancias simultáneas en diferentes líneas de apuesta."
UI_Game1051_WinShownInCash,"All wins shown in cash.",,,,,,,,,"Todos os ganhos são apresentados em dinheiro.","Todas las ganancias se presentan en efectivo."
UI_Game1051_FTCommonRules,"Wild symbol substitutes for all symbols.",,,,,,,,,"O símbolo Wild substitui todos os símbolos","El símbolo Wild reemplaza a todos los símbolos"
UI_Game1051_MainGameTitle,"Main Game",,,,,,,,,"Jogo principal","Juego principal"
UI_Game1051_SpinTitle,"Spin",,,,,,,,,"Rodar","Girar"
