none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es_co
UIRedeemCode_OrderAmount,Order amount:,ऑर्डर करने की राशि:,จำนวนสั่งซื้อ:,Order amount:,訂單金額:,Số lượng đơn đặt hàng:,Jumlah pesanan:,ఆర్డర్ మొత్తం:,ऑर्डर रक्कम:,Valor do pedido:,Total de la orden:
UI_SuccessfullySent,Sent successfully,सफलतापूर्वक भेज दिया,ส่งเรียบร้อยแล้ว,Sent successfully,Sent successfully,Gửi thành công,Berhasil dikirim,Sent successfully,Sent successfully,Enviado com sucesso,Enviado correctamente
UI_AiSupportPromoteService,Agent service,Cooperation Service,Cooperation Service,Cooperation Service,Cooperation Service,Cooperation Service,Cooperation Service,Cooperation Service,Cooperation Service,Serviço de agente,Cooperation Service
UI_PromotePopHint,You still have Refer bonus to claim,दावा करने के लिए आपके पास अभी भी रेफर बोनस है,คุณยังมีโบนัสอ้างอิงที่จะรับสิทธิ์,You still have Refer bonus to claim,您仍有推薦獎金可以領取,Bạn vẫn có tiền thưởng giới thiệu để yêu cầu,Anda masih memiliki bonus Referensi untuk diklaim,మీరు ఇప్పటికీ క్లెయిమ్ చేయడానికి సిఫార్సు బోనస్ని కలిగి ఉన్నారు,दावा करण्यासाठी तुमच्याकडे अजूनही रेफर बोनस आहे,Você ainda tem bônus de indicação para reivindicar,Aún tienes bonificación por recomendación para reclamar
UI_Evidence,Evidence,प्रमाण,Evidence,Evidence,Evidence,Chứng cớ,Evidence,Evidence,Evidence,Evidência,Evidence
UI_REWARDS,REWARDS,पुरस्कार,รางวัล,REWARDS,獎勵,PHẦN\nTHƯỞNG,HADIAH,బహుమతులు,बक्षिसे,Bônus,Prima
UI_Rewards,Rewards,पुरस्कार,รางวัล,Rewards,獎勵,Phần\nthưởng,Hadiah,బహుమతులు,बक्षिसे,Bônus,Prima
UI_Go,Go,जाना,ไป,Go,去,Đi,Pergi,వెళ్ళండి,जा,Ir,Ir
UI_Highest_Level,Highest level,उच्चतम स्तर,ระดับสูงสุด,Highest level,最高等級,Cấp độ cao nhất,Level tertinggi,అత్యధిక స్థాయి,सर्वोच्च पातळी,Mais alto nível,Nivel más alto
UI_Cash_StarColor_IFSCCodeNew,<b><color=#495669>Account name</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#495669>Nome da conta</color><color=#ff0000>*</color></b>,<b><color=#495669>Nombre de la cuenta</color><color=#ff0000>*</color></b>
UI_Shop_InputTaxIdNew,Enter name,,,,,,,,,Introduza o nome,Ingrese su nombre
UI_Input_PixNew,Enter the number of 11 digits of the CPF,,,,,,,,,Introduza o número de 11 digitos do CPF,Ingrese el número de 11 dígitos del CPF
UI.newOfficial,Official channel,,,,,,,,,Canal oficial,Canal oficial
UI.newGroupofactivities,Group of activities,,,,,,,,,Grupo de atividades,grupo de actividades
UI.UIReceiveRedEnvelope1,GRAB,,,,,,,,,AGARR AR,AGARR AR
UI.UIReceiveRedEnvelope2,Rain of red envelopes,,,,,,,,,Chuva de pacotes vermelhos,Lluvia de sobres rojos
UI.UIReceiveRedEnvelope3,The bonus has been deposited into your wallet,,,,,,,,,O bônus foi depositado na sua carteira,El bono ha sido depositado en tu billetera
UI.UIReceiveRedEnvelope4,Congratulations on the award,,,,,,,,,Parabéns pelo prêmio,Felicitaciones por el premio.
UI.UIGC1,License,,,,,,,,,Licença,Licencia
UI.Learnmore,Learn more,,,,,,,,,Learn more,Aprende más
UI.UIBetRecordtotal,Total Bonus,,,,,,,,,Total Bonus,Bono total
UI.UIBetRecordslot,Slots Bonus,,,,,,,,,Slots Bonus,Bono de slots
UI.UIBetRecordvideo,Live Casino Bonus,,,,,,,,,Live Casino Bonus,Bono de Live Casino
UI.UIBetBonusSlots,Slots,,,,,,,,,Slots,Slots
UI.UIBetBonusLive Casino,Live Casino,,,,,,,,,Live Casino,Live Casino
UI.UIBetBonusIn-House,In-House,,,,,,,,,In-House,In-House
UI.20% CASH BACK,20% CASH BACK,,,,,,,,,20% CASH BACK,20% CASH BACK
